Mods count: 155
 
jar name                                                                        | mod id (isMCreator)                      | mixin configs
neoforge-21.1.213 (modloader)                                                   | neoforge                                 | 
AdditionalEnchantedMiner-1.21.1-neoforge-21.1.135.jar                           | quarryplus                               | 
amendments-1.21-2.0.8-neoforge.jar                                              | amendments                               | amendments-common.mixins.json, amendments.mixins.json
Apotheosis-1.21.1-8.4.0.jar                                                     | apotheosis                               | apotheosis.mixins.json
ApothicAttributes-1.21.1-2.9.0.jar                                              | apothic_attributes                       | apothic_attributes.mixins.json
ApothicEnchanting-1.21.1-1.5.0.jar                                              | apothic_enchanting                       | apothic_enchanting.mixins.json
ApothicSpawners-1.21.1-1.3.2.jar                                                | apothic_spawners                         | apothic_spawners.mixins.json
appleskin-neoforge-mc1.21-3.0.7.jar                                             | appleskin                                | 
architectury-13.0.8-neoforge.jar                                                | architectury                             | architectury.mixins.json, architectury-common.mixins.json
ars_additions-1.21.1-21.2.3.jar                                                 | ars_additions                            | ars_additions.mixins.json
ars_elemancy-1.21.1-1.11.jar                                                    | ars_elemancy                             | ars_elemancy.mixins.json
    /META-INF/jarjar/sauce-1.21.1-0.0.4.15.jar                                  | sauce                                    | sauce.mixins.json
ars_elemental-1.21.1-0.7.6.3.jar                                                | ars_elemental                            | ars_elemental.mixins.json
    /META-INF/jarjar/sauce-1.21.1-0.0.12.39.jar                                 | sauce                                    | sauce.mixins.json
ars_nouveau-1.21.1-5.10.6.jar                                                   | ars_nouveau                              | ars_nouveau.mixins.json
    /META-INF/jarjar/nuggets-neoforge-1.21-1.0.10.41.jar                        | nuggets                                  | nuggets.neoforge.mixins.json, nuggets.mixins.json
    /META-INF/jarjar/lambdynamiclights-api-4.5.1+1.21.1-mojmap.jar              | lambdynlights_api                        | 
        /META-INF/jars/yumi-commons-collections-1.0.0-beta.4.jar                | yumi_commons_collections                 | 
        /META-INF/jars/yumi-commons-core-1.0.0-beta.4.jar                       | yumi_commons_core                        | 
        /META-INF/jars/yumi-commons-event-1.0.0-beta.4.jar                      | yumi_commons_event                       | 
